,0
0,Minnesota
1,Maine
2,Delaware
3,Nebraska
4,South Dakota
5,Connecticut
6,Indiana
7,Nevada
8,Oklahoma
9,Massachusetts
10,Rhode Island
11,Vermont
12,Utah
13,Wisconsin
14,Maryland
15,New Jersey
16,California
17,North Carolina
18,Illinois
19,Tennessee
20,Texas
21,North Dakota
22,New Hampshire
23,West Virginia
24,Florida
25,Colorado
26,Idaho
27,Montana
28,Alaska
29,Pennsylvania
30,Alabama
31,South Carolina
32,Missouri
33,Michigan
34,Arizona
35,Washington
36,Oregon
37,Kentucky
38,Louisiana
39,Wyoming
40,Hawaii
41,Ohio
42,Virginia
43,Georgia
44,Mississippi
